Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación
06/07/2025 12:13 a. m.,Ordeño,08:16,8.91,1,,,,,0,,2.09,2.14,2.39,2.29,VMS 3,,Tanque,
06/07/2025 09:18 a. m.,Ordeño,08:39,5.53,2,,TD,"TI,TD",TI,0,1.32,2.38,2.28,0.00,4.19,VMS 3,,Tanque
06/07/2025 06:21 p. m.,Ordeño,08:23,13.29,3,,,,,0,,2.55,2.45,4.35,3.94,VMS 3,,Tanque,
07/07/2025 03:41 a. m.,Ordeño,06:12,9.12,1,,,,,0,,2.15,2.32,1.86,2.79,VMS 3,,Tanque,
07/07/2025 04:22 p. m.,Ordeño,09:14,12.79,2,,,,,0,,3.09,2.75,3.49,3.46,VMS 3,,Tanque,
07/07/2025 11:51 p. m.,Ordeño,09:35,8.80,1,,,,,0,,2.12,2.13,2.16,2.39,VMS 3,,Tanque,
08/07/2025 09:28 a. m.,Ordeño,07:26,8.83,2,,TI,,,0,,0.53,2.81,2.20,3.29,VMS 3,,Tanque,
08/07/2025 07:34 p. m.,Ordeño,09:37,13.69,3,,,,,0,,2.96,2.79,5.04,2.90,VMS 3,,Tanque,
09/07/2025 03:49 a. m.,Ordeño,08:06,10.10,1,,,,,0,,2.44,2.28,2.65,2.73,VMS 3,,Tanque,
09/07/2025 04:05 a. m.,Rechazada,00:00,,,,,,,,,,,,,VMS 3,,,
09/07/2025 02:21 p. m.,Ordeño,07:48,9.42,2,,TI,DI,,0,"DD,1.20,0.60,2.95,2.38,3.65,VMS 3,,Tanque
09/07/2025 08:03 p. m.,Ordeño,11:18,9.33,3,,,,,0,,1.50,1.70,3.86,2.27,VMS 3,,Tanque,
10/07/2025 05:51 a. m.,Ordeño,08:43,11.75,1,,,,,0,,2.74,2.62,3.24,3.15,VMS 3,,Tanque,
10/07/2025 06:05 a. m.,Rechazada,00:00,,,,,,,,,,,,,VMS 3,,,
10/07/2025 06:08 a. m.,Rechazada,00:00,,,,,,,,,,,,,VMS 3,,,
10/07/2025 04:31 p. m.,Ordeño,12:11,10.91,2,,"DI,TD",,,0,1.38,2.83,3.06,2.95,4.13,VMS 3,,Tanque
11/07/2025 01:43 a. m.,Ordeño,08:04,8.64,1,,DI,TI,TI,0,,1.56,2.68,0.00,4.40,VMS 3,,Tanque,
11/07/2025 07:15 p. m.,Ordeño,18:38,19.29,2,,,,,1,"DI,1.50,4.14,3.67,7.69,4.27,VMS 3,,Tanque
12/07/2025 08:00 p. m.,Ordeño,14:57,18.54,1,,,,,0,,4.44,4.34,3.90,5.86,VMS 3,,Tanque,
13/07/2025 11:34 a. m.,Ordeño,12:13,13.97,1,,DI,,,0,,2.71,3.30,4.06,3.90,VMS 3,,Tanque,
14/07/2025 02:58 a. m.,Ordeño,10:28,11.87,1,,TI,TI,,0,"DI,1.14,3.56,3.83,0.24,3.83,VMS 3,,Tanque
14/07/2025 07:43 a. m.,Ordeño,13:06,8.88,2,,,,,1,TI,1.18,1.27,4.68,1.75,VMS 3,,Tanque,
14/07/2025 11:10 p. m.,Ordeño,09:40,11.96,3,,TI,DI,,1,TI,0.67,3.81,2.98,4.50,VMS 3,,Tanque,
15/07/2025 04:07 a. m.,Ordeño,09:05,9.13,1,,,,,0,,1.34,1.38,4.56,1.85,VMS 3,,Tanque,
15/07/2025 03:20 p. m.,Ordeño,10:03,12.74,2,,,,,0,,2.16,3.29,3.44,3.85,VMS 3,,Tanque,
16/07/2025 03:01 a. m.,Ordeño,10:05,10.52,1,,TI,TI,TI,0,"DI,1.14,2.93,3.40,0.10,4.14,VMS 3,,Tanque
16/07/2025 10:50 a. m.,Ordeño,12:15,11.21,2,,DI,,,0,,2.19,2.24,3.95,2.83,VMS 3,,Tanque,
16/07/2025 09:26 p. m.,Ordeño,07:17,13.08,3,,,,,0,,2.85,3.30,3.59,3.34,VMS 3,,Tanque,
17/07/2025 09:14 a. m.,Ordeño,09:40,13.55,1,,,,,0,,3.25,3.43,2.79,4.08,VMS 3,,Tanque,
17/07/2025 10:04 p. m.,Ordeño,08:16,10.86,2,,,TI,TI,0,,3.52,3.42,0.00,3.92,VMS 3,,Tanque,
18/07/2025 12:52 a. m.,Ordeño,14:17,6.11,1,,DI,,,0,TI,1.00,1.08,2.79,1.24,VMS 3,,Tanque,
